iter	RMSE
0	7.837262572
1	7.6791538
2	7.514800276
3	7.387313705
4	7.233305461
5	7.092066286
6	6.965342698
7	6.841405488
8	6.709343244
9	6.602624827
10	6.490102515
11	6.391769282
12	6.306870555
13	6.217376175
14	6.129159238
15	6.032416597
16	5.951741736
17	5.877819638
18	5.813789296
19	5.740184833
20	5.674632596
21	5.620393559
22	5.572171089
23	5.517875078
24	5.468102315
25	5.418062105
26	5.37636697
27	5.338907572
28	5.30723059
29	5.265702834
30	5.222736772
31	5.190378555
32	5.15747965
33	5.124827277
34	5.092590886
35	5.068030193
36	5.041437623
37	5.01330544
38	4.987182505
39	4.957939878
40	4.929585667
41	4.905756821
42	4.883114407
43	4.863061728
44	4.840406349
45	4.817181902
46	4.793267571
47	4.774426615
48	4.749624162
49	4.735942151
50	4.717541838
51	4.701270322
52	4.679508303
53	4.66203343
54	4.648786505
55	4.636478304
56	4.618008196
57	4.60158853
58	4.587020745
59	4.571502998
60	4.556625371
61	4.534437773
62	4.519362444
63	4.504812195
64	4.489032941
65	4.479200679
66	4.463704716
67	4.447909551
68	4.434308457
69	4.416549213
70	4.407945947
71	4.395542172
72	4.383102894
73	4.374117615
74	4.362258466
75	4.350980779
76	4.337107136
77	4.325625444
78	4.317638204
79	4.308664367
80	4.29734465
81	4.289737324
82	4.278170915
83	4.268142795
84	4.257389842
85	4.245893757
86	4.239023905
87	4.229285817
88	4.221058111
89	4.212677007
90	4.20313764
91	4.195222279
92	4.184063848
93	4.172712874
94	4.163534541
95	4.155008349
96	4.144495641
97	4.133700817
98	4.122892511
99	4.111213867
